Building,Unit,Tenant,Lease_Date,Expiration,Renewal_Option,Non_Compete,Cancel_Option_Tenant,Cancel_Option_Landlord,ROFR,Exclusive_Use,Personal_Guarantee,Other_Notable,Notes
114 Central Westfield,Unit 106,Reves Smoothie Bar,2022,Not found,Yes,No,Yes,Yes,No,No,No,Yes,2 five-year renewal options
114 Central Westfield,Unit 114,T-Mobile,5/7/2015,Not found,Yes,No,Yes,Yes,No,No,No,Yes,
114 Central Westfield,Unit 2-2,Tang Pacific (American Retail Shippers),May 2026,Not found,Yes,No,Yes,Yes,No,Yes,No,Yes,NEW LEASE May 2026
114 Central Westfield,Unit 2-3,Rentokil North America Inc,4/15/2025,5/31/2027,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,Only commencement memo analyzed - FULL LEASE NEEDS OCR (3.2MB file)
114 Central Westfield,Unit 2-4,Skin Savvy LLC,Extension,12/31/2025,Yes,No,No,No,No,No,No,Yes,Extension analyzed
114 Central Westfield,Unit 2-5 & 9,Jenny Madden Design LLC,4/11/2022,6/30/2024,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,Only commencement memo analyzed - EXPIRED 6/30/2024 - Verify renewal status + OCR full lease (3.2MB)
114 Central Westfield,Unit 2-6,Dave Rossi Photography LLC,4/21/2026,Not found,Yes,No,Yes,Yes,No,Yes,No,Yes,Extension/Renewal analyzed
114 Central Westfield,Unit 2-7,Westfield Education Association,4/25/2026,Not found,Yes,No,Yes,Yes,No,Yes,No,Yes,
114 Central Westfield,Unit 2-8,SRD Capital Management LLC,7/10/2024,Not found,Yes,No,No,No,No,No,No,Yes,Extension analyzed
114 Central Westfield,Potential Tenant,Chez Alice,Draft 4/29/2026,Not found,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DRAFT LEASE - Under negotiation - NOT EXECUTED
1280-86 Springfield Ave,Apt 1,Yillmaz & Zoidze,Not found,5/31/2026,No,No,No,No,No,No,No,No,Residential lease
1280-86 Springfield Ave,Apt 2,De Esso,Not found,5/31/2027,Yes,No,Yes,Yes,No,No,No,Yes,Residential lease - 2nd lease term
1280-86 Springfield Ave,Store 1,George's Appliances,10/25/2021,Not found,Yes,No,No,No,No,Yes,No,Yes,Modification/Extension analyzed
1280-86 Springfield Ave,Store 2,Juice House,Nov 2021,Not found,Yes,No,No,No,No,Yes,No,Yes,2nd Lease Modification analyzed
1280-86 Springfield Ave,Store 3,Uppleside Down (K Squared Air),7/1/2019,~7/1/2024,Yes,No,No,No,No,No,No,Yes,Original 60-month term + Assignment 10/1/2023 - VERIFY renewal/extension post-7/2024
1280-86 Springfield Ave,Office 1-2,Sana Yoga,March 2026,Not found,Yes,No,No,No,No,No,No,Yes,First Modification analyzed
1280-86 Springfield Ave,Office 3,Your Kids Urgent Care / SLK Enterprises,2/19/2020,Not found,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,REVIEW NEEDED,YES (Silva/Tone),REVIEW NEEDED,**CRITICAL: Image-based PDF - NO TEXT LAYER - REQUIRES OCR** 34-page lease + sublease 5/11/21 + assignment to SLK 8/26/23
15 South Street,Ground Floor,Summit Health,Not found,Not found,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Most comprehensive provisions - Major medical facility
15 South Street,Ground Floor,Wells Fargo,March 2025,Not found,Yes,No,No,No,No,No,No,No,Only commencement letter analyzed - need full lease
36 South Street,2nd Floor,Longo Architects,Cancellation,5/25/2025,Yes,No,No,No,No,No,No,Yes,CANCELLATION LETTER analyzed dated 5/25/25 - need original lease
36 South Street,Ground Floor,Verizon,Draft Amendment,Not found,No,No,Yes,Yes,No,No,No,Yes,Draft amendment analyzed (12/8/25) - need original lease + executed version
36 South Street,Ground Floor,Wonder,4/4/2024,Not found,Yes,No,No,No,No,No,No,No,Only commencement letter analyzed - need full lease
